ID,Estradas,Numero_Estradas,Descricoes,Comprimento,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Categoria,Magnitude,Coordenadas,Cidade,Versao,Diferenca
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.401784593,-9.1481419348",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4020098562,-9.1486944699",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4020447661,-9.1487628662",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4020554528,-9.1487803005",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4021158164,-9.1488701546",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4021801956,-9.1489465975",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4022432146,-9.1490109705",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4023437987,-9.1490820491",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4024269603,-9.1491263055",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4024739167,-9.1491370343",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4025463267,-9.1491558098",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4026375192,-9.1491638564",Lisboa,1,
